date,model_id,input_per_mtok_usd,output_per_mtok_usd,source,confidence
2026-07-01,deepseek/deepseek-v4-flash,0.098,0.196,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",exact_day
2026-07-01,xiaomi/mimo-v2.5,0.105,0.28,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",nearest
2026-07-02,deepseek/deepseek-v4-flash,0.089,0.18,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",exact_day
2026-07-02,xiaomi/mimo-v2.5,0.105,0.28,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",nearest
2026-07-03,deepseek/deepseek-v4-flash,0.09,0.18,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",exact_day
2026-07-03,xiaomi/mimo-v2.5,0.105,0.28,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",nearest
2026-07-04,deepseek/deepseek-v4-flash,0.09,0.18,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",nearest
2026-07-04,xiaomi/mimo-v2.5,0.105,0.28,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",nearest
2026-07-05,deepseek/deepseek-v4-flash,0.09,0.18,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",nearest
2026-07-05,xiaomi/mimo-v2.5,0.105,0.28,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",nearest
2026-07-06,deepseek/deepseek-v4-flash,0.09,0.18,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",nearest
2026-07-06,xiaomi/mimo-v2.5,0.105,0.28,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",nearest
2026-07-07,deepseek/deepseek-v4-flash,0.09,0.18,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",nearest
2026-07-07,tencent/hy3,0.2,0.8,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",exact_day
2026-07-07,xiaomi/mimo-v2.5,0.105,0.28,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",nearest
2026-07-08,deepseek/deepseek-v4-flash,0.09,0.18,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",nearest
2026-07-08,tencent/hy3,0.2,0.8,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",nearest
2026-07-08,xiaomi/mimo-v2.5,0.105,0.28,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",nearest
2026-07-09,deepseek/deepseek-v4-flash,0.09,0.18,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",nearest
2026-07-09,tencent/hy3,0.14,0.58,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",exact_day
2026-07-09,xiaomi/mimo-v2.5,0.105,0.28,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",nearest
2026-07-10,deepseek/deepseek-v4-flash,0.09,0.18,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",nearest
2026-07-10,openai/gpt-5.6-luna,1.0,6.0,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",exact_day
2026-07-10,tencent/hy3,0.14,0.58,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",nearest
2026-07-10,xiaomi/mimo-v2.5,0.105,0.28,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",nearest
2026-07-11,deepseek/deepseek-v4-flash,0.077,0.154,"jvrck/openrouterlist data/history/prices.json (https://github.com/jvrck/openrouterlist, as_of 2026-09-09)",exact_day
