date,rank,model_id,source,confidence,url
2026-07-01,1,deepseek/deepseek-v4-flash,HappyRock OpenRouter week-2 recap (2026-07-14): DeepSeek V4 Flash ended a 7-week #1 streak on Jul 6.,nearest,https://happyrock.cloud/blog/2026-07-14_openrouter_week2_chinese_models_top6_hy3_token_economy_en/
2026-07-01,2,xiaomi/mimo-v2.5,HappyRock OpenRouter week-2 recap (2026-07-14): DeepSeek V4 Flash ended a 7-week #1 streak on Jul 6.,nearest,https://happyrock.cloud/blog/2026-07-14_openrouter_week2_chinese_models_top6_hy3_token_economy_en/
2026-07-01,3,minimax/minimax-m3,HappyRock OpenRouter week-2 recap (2026-07-14): DeepSeek V4 Flash ended a 7-week #1 streak on Jul 6.,nearest,https://happyrock.cloud/blog/2026-07-14_openrouter_week2_chinese_models_top6_hy3_token_economy_en/
2026-07-01,4,z-ai/glm-5.2,HappyRock OpenRouter week-2 recap (2026-07-14): DeepSeek V4 Flash ended a 7-week #1 streak on Jul 6.,nearest,https://happyrock.cloud/blog/2026-07-14_openrouter_week2_chinese_models_top6_hy3_token_economy_en/
2026-07-01,5,nvidia/nemotron-3-ultra-550b-a55b:free,HappyRock OpenRouter week-2 recap (2026-07-14): DeepSeek V4 Flash ended a 7-week #1 streak on Jul 6.,nearest,https://happyrock.cloud/blog/2026-07-14_openrouter_week2_chinese_models_top6_hy3_token_economy_en/
2026-07-02,1,deepseek/deepseek-v4-flash,HappyRock OpenRouter week-2 recap (2026-07-14): DeepSeek V4 Flash ended a 7-week #1 streak on Jul 6.,nearest,https://happyrock.cloud/blog/2026-07-14_openrouter_week2_chinese_models_top6_hy3_token_economy_en/
2026-07-02,2,xiaomi/mimo-v2.5,HappyRock OpenRouter week-2 recap (2026-07-14): DeepSeek V4 Flash ended a 7-week #1 streak on Jul 6.,nearest,https://happyrock.cloud/blog/2026-07-14_openrouter_week2_chinese_models_top6_hy3_token_economy_en/
2026-07-02,3,minimax/minimax-m3,HappyRock OpenRouter week-2 recap (2026-07-14): DeepSeek V4 Flash ended a 7-week #1 streak on Jul 6.,nearest,https://happyrock.cloud/blog/2026-07-14_openrouter_week2_chinese_models_top6_hy3_token_economy_en/
2026-07-02,4,z-ai/glm-5.2,HappyRock OpenRouter week-2 recap (2026-07-14): DeepSeek V4 Flash ended a 7-week #1 streak on Jul 6.,nearest,https://happyrock.cloud/blog/2026-07-14_openrouter_week2_chinese_models_top6_hy3_token_economy_en/
2026-07-02,5,nvidia/nemotron-3-ultra-550b-a55b:free,HappyRock OpenRouter week-2 recap (2026-07-14): DeepSeek V4 Flash ended a 7-week #1 streak on Jul 6.,nearest,https://happyrock.cloud/blog/2026-07-14_openrouter_week2_chinese_models_top6_hy3_token_economy_en/
